account_id,customer_id,product_type,product_name,currency_code,current_balance,account_status,created_at
64fce893-342d-4fc0-8254-a91ef1b64ce6,bf3b83b7-bc1f-4da9-9006-ba14a9af9d20,Credit Card,Credit Card Account,USD,-363296,active,2026-02-20T10:56:27.073Z
9e1e575a-94cc-41e7-bfcb-8d86e13e5553,bf3b83b7-bc1f-4da9-9006-ba14a9af9d20,Credit Card,Credit Card Account,USD,-223141,dormant,2026-02-20T10:56:27.073Z
772ad664-d26c-42e5-8411-d40961c5c29a,bf3b83b7-bc1f-4da9-9006-ba14a9af9d20,Savings,Savings Account,USD,23486,dormant,2026-02-20T10:56:27.073Z
ac6b53ca-0434-43af-ab17-4748f71af17a,aaa400cf-b4c2-453b-8fd5-86a709310e62,Checking,Checking Account,USD,1357592,dormant,2026-02-20T10:56:27.073Z
c7b2c811-7c94-4348-acf1-0a5abf5ecb58,aaa400cf-b4c2-453b-8fd5-86a709310e62,Investment,Investment Account,USD,2853033,active,2026-02-20T10:56:27.073Z
3d00ad37-2ace-4529-ac9b-5f205189ff46,d2ffdc67-4a6b-4560-a18b-eae692701c3a,Mortgage,Mortgage Account,USD,-130282,active,2026-02-20T10:56:27.073Z
efdf1494-28ce-4afa-8526-9464e0f9b795,d2ffdc67-4a6b-4560-a18b-eae692701c3a,Investment,Investment Account,USD,4671,active,2026-02-20T10:56:27.074Z
e4cf7043-02e4-4ce5-9515-c44b1daac950,d2ffdc67-4a6b-4560-a18b-eae692701c3a,Savings,Savings Account,USD,31154,dormant,2026-02-20T10:56:27.074Z
4dde304d-c79a-4f45-9452-a157f1419905,d2ffdc67-4a6b-4560-a18b-eae692701c3a,Mortgage,Mortgage Account,USD,-87015,dormant,2026-02-20T10:56:27.074Z
1d12206d-c192-435c-9dc2-577b5028cdd8,b573a1cb-5cfe-4ae0-a2b1-fb526f42e448,Checking,Checking Account,USD,12202,dormant,2026-02-20T10:56:27.074Z
94eba491-a5b8-4433-8594-de5bcdac6f15,b573a1cb-5cfe-4ae0-a2b1-fb526f42e448,Mortgage,Mortgage Account,USD,-59845,dormant,2026-02-20T10:56:27.074Z
17c5ecd4-793b-42ec-a409-f3a1b46e091d,b573a1cb-5cfe-4ae0-a2b1-fb526f42e448,Savings,Savings Account,USD,17702,active,2026-02-20T10:56:27.074Z
95bae549-ea13-4e08-9ee1-fdc25bda4334,1e896fbb-bb7a-4cbd-9c51-f418eace509f,Savings,Savings Account,USD,31704,active,2026-02-20T10:56:27.074Z
e20aa0f8-32b9-4cba-afc4-af51c7278d36,9e24560d-bb01-4966-bc2e-ca9f0df57a94,Savings,Savings Account,USD,40540,dormant,2026-02-20T10:56:27.074Z
c081e988-1c7c-4efe-90e5-f443c6fa5ddf,9e24560d-bb01-4966-bc2e-ca9f0df57a94,Credit Card,Credit Card Account,USD,-379292,dormant,2026-02-20T10:56:27.074Z
309d5545-4ab6-4e00-9391-e8df0119bdde,9e24560d-bb01-4966-bc2e-ca9f0df57a94,Investment,Investment Account,USD,14573,active,2026-02-20T10:56:27.074Z
b1d2338f-a299-4fbd-9377-aa08405d00f3,2ad4aa44-5d09-4c72-b0fe-66bd9334fed4,Mortgage,Mortgage Account,USD,-388427,active,2026-02-20T10:56:27.074Z
67ddde4a-9441-49f5-ac3e-b0038d7a8710,2ad4aa44-5d09-4c72-b0fe-66bd9334fed4,Checking,Checking Account,USD,16745,dormant,2026-02-20T10:56:27.074Z
dc223303-2465-4281-9d3f-67f70b28a125,2ad4aa44-5d09-4c72-b0fe-66bd9334fed4,Mortgage,Mortgage Account,USD,-384339,dormant,2026-02-20T10:56:27.074Z
c99f682b-43e6-4817-a124-9455c8d6114a,18482317-10e5-44a6-882e-1a36604f9dd3,Investment,Investment Account,USD,20159,dormant,2026-02-20T10:56:27.074Z
d26ff9be-8c35-404c-8fa1-7336ee2e43c0,18482317-10e5-44a6-882e-1a36604f9dd3,Credit Card,Credit Card Account,USD,-277866,active,2026-02-20T10:56:27.074Z
97eca3e7-6f5b-424c-8416-c31bc34a5832,18482317-10e5-44a6-882e-1a36604f9dd3,Checking,Checking Account,USD,29804,dormant,2026-02-20T10:56:27.074Z
cfced735-8c9f-4382-a1a6-23e366cc444a,4e648212-d074-4f5f-b8ad-193e7894697d,Checking,Checking Account,USD,39200,dormant,2026-02-20T10:56:27.074Z
440aeb6b-2fe2-4d7c-a2b1-454a9d08e84d,31a20188-a11b-4b51-88a1-1626e6672665,Credit Card,Credit Card Account,USD,-253988,dormant,2026-02-20T10:56:27.074Z
c36251ab-de9d-448f-9f32-da1007120f21,31a20188-a11b-4b51-88a1-1626e6672665,Investment,Investment Account,USD,4196180,dormant,2026-02-20T10:56:27.074Z
41b5120a-5cc1-48d2-90cb-125599588719,31a20188-a11b-4b51-88a1-1626e6672665,Savings,Savings Account,USD,1943593,dormant,2026-02-20T10:56:27.074Z
a089f3d1-920c-4866-b103-87947afde997,31a20188-a11b-4b51-88a1-1626e6672665,Investment,Investment Account,USD,3901442,active,2026-02-20T10:56:27.074Z
c6a8b62a-d18e-4021-9ee4-47b55483da00,448f1c29-a277-4990-b4e7-dbeb7b215ba5,Mortgage,Mortgage Account,USD,-389720,dormant,2026-02-20T10:56:27.074Z
2411228a-9f22-4be9-b4c5-38ec9e2f487d,c33d7233-fa24-4fcb-a984-489091046023,Savings,Savings Account,USD,3951,active,2026-02-20T10:56:27.074Z
4c3ddd58-055d-4e11-b504-0bd7fef8a614,c33d7233-fa24-4fcb-a984-489091046023,Credit Card,Credit Card Account,USD,-287469,active,2026-02-20T10:56:27.074Z
ac6cbc0d-0782-429c-9181-fe206bf752e3,c33d7233-fa24-4fcb-a984-489091046023,Credit Card,Credit Card Account,USD,-336691,dormant,2026-02-20T10:56:27.074Z
cbc44825-f62d-45c0-a269-902b25225740,1cfd9d56-34e2-4a58-9a47-cf4c3e6744a5,Checking,Checking Account,USD,358896,active,2026-02-20T10:56:27.075Z
a28ea492-1784-49fb-a36b-85d04ae4fe5b,1cfd9d56-34e2-4a58-9a47-cf4c3e6744a5,Savings,Savings Account,USD,909448,active,2026-02-20T10:56:27.075Z
